Monthly Burn (Early),₹-78K (M1),₹0 (Profitable),₹0 (Profitable)
Breakeven Month,Month 3,Already profitable,Already profitable
,,,,
,,,,
FUNDRAISING ROADMAP,,,,
Round,Amount,Valuation,Equity,Timeline
Seed,₹25 Lakhs,₹2 Cr pre-money,11-13%,Now (Jan 2026)
Series A,₹5 Crores,₹20 Cr pre-money,20-25%,Month 18 (Jun 2027)
Series B,₹25 Crores,₹100 Cr pre-money,20%,Month 36 (Jan 2029)
,,,,
USE OF SEED FUNDS (₹25 Lakhs),,,,
Category,Amount,% of Total,Details,
Marketing & User Acquisition,₹10 Lakhs,40%,"Google/FB ads, influencer marketing, content",
Product Development & AI,₹8 Lakhs,32%,"AI fine-tuning, features, security audits",
Team Expansion,₹4 Lakhs,16%,"CTO hire, 2 legal writers, 2 support staff",
Operations & Infrastructure,₹3 Lakhs,12%,"Cloud credits, legal compliance, office",
Total,₹25 Lakhs,100%,,
,,,,
,,,,
MARKET ASSUMPTIONS,,,,
Total Addressable Market (TAM),₹10000 Crores,100M families × ₹99 × 12 × 8% adoption,
Serviceable Addressable Market (SAM),₹2000 Crores,20M active seekers in Tier 1/2 cities,
Serviceable Obtainable Market (SOM Y3),₹59.4 Crores,500K users (2.5% of SAM),
,,,,
COMPETITIVE BENCHMARKS,,,,
Company,Revenue (FY24),Funding,Users (Est),
Vakilsearch,₹50 Crores,$10.9M,~50K,
LawRato,₹6.7M USD,₹570K,~10K,
MyAdvo,₹3.6 Crores,$1.9M,~5K,
Nyay Mitra (Y3 Projection),₹11.88 Crores,₹25L (Seeking),100K (Target),
,,,,
,,,,
DATA SOURCES & REFERENCES,,,,
Source,Data Point,Date,
Ministry of Law & Justice,54M pending cases,Jan 2026,
NCRB Crime in India Report,1.4L domestic violence cases,2022,
Bar Council of India,20L lawyers (1:710 ratio),Aug 2023,
Grand View Research,₹8500 Cr legal tech market,2024,
Tracxn India LegalTech Report,493% funding surge,2025,
Economic Times / IAMAI,886M internet users,Dec 2024,
IBEF India Report,690M smartphone users,Q3 2024,
Legal consultation surveys,"₹1K-₹5K initial, ₹15K-₹5L divorce","2024 (lawcrust.com, legals365.com)",
,,,,
RISK FACTORS,,,,
Risk,Likelihood,Mitigation Strategy,
High CAC in legal sector,Medium,Viral referral program + organic content,
Regulatory changes,Medium,Bar Council partnerships + position as info not advice,
AI accuracy concerns,Medium,Human-in-loop verification + disclaimers,
Advisor churn,Low,Revenue sharing model + exclusive benefits,
Competition from big tech,Low,First-mover + family law specialization moat,
,,,,
,,,,
NOTES:,,,,
"1. All projections are conservative and based on verified market data",,,,
"2. User growth assumes 3-5% monthly churn and organic + paid acquisition",,,,
"3. LTV calculated at 18 months average (conservative for SaaS)",,,,
"4. Cost per user includes full stack: infrastructure, AI, support",,,,
"5. Marketing spend front-loaded in Year 1, then optimized for CAC efficiency",,,,
"6. Series A assumes 10K users and ₹10L ARR as minimum traction",,,,
"7. Revenue model is 90% subscriptions, 10% marketplace/ancillary",,,,
,,,,
Created by: Nyay Mitra Financial Planning Team,,,,
Last Updated: January 27 2026,,,,
Version: 1.0 - SINE IIT Bombay Pitch,,,,
